week,temperature,relative_humidity,dew_point,precipitation (mm),rain (mm),snowfall (cm),pressure_msl (hPa),surface_pressure (hPa),cloud_cover (%),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%),vapour_pressure_deficit (kPa),wind_speed_10m (km/h),wind_direction
1981-06-08/1981-06-14,26.669642857142858,73.73214285714286,21.044642857142858,11.4,11.4,0,1006.6089285714287,942.2988095238095,53.38095238095237,47.077380952380956,14.452380952380953,14.30952380952381,1.057797619047619,15.64702380952381,268
1981-06-15/1981-06-21,26.553571428571427,70.58333333333333,20.063095238095237,0.2,0.2,0,1004.0029761904763,939.8321428571428,41.59523809523809,34.613095238095234,8.410714285714286,19.065476190476193,1.1868452380952381,17.73095238095238,244
1981-06-22/1981-06-28,24.037499999999998,85.96428571428571,21.180952380952384,70.6,70.6,0,1005.2773809523809,940.5077380952381,88.71428571428571,77.16666666666666,37.642857142857146,71.79166666666666,0.499047619047619,18.639880952380956,230
1981-06-29/1981-07-05,23.576190476190476,90.29166666666666,21.828571428571426,38.0,38.0,0,1005.2779761904761,940.4196428571429,94.78571428571429,81.28571428571429,27.190476190476186,71.9702380952381,0.30077380952380955,22.80892857142857,233
1981-07-06/1981-07-12,22.64166666666667,93.67857142857143,21.51845238095238,83.7,83.7,0,1003.6892857142858,938.7321428571429,95.61904761904762,83.80357142857143,59.08333333333333,71.10714285714286,0.18684523809523806,19.96309523809524,233
1981-07-13/1981-07-19,22.9672619047619,91.05357142857143,21.379761904761903,42.1,42.1,0,1006.4541666666665,941.3904761904762,95.44642857142857,78.76190476190477,42.779761904761905,74.04761904761905,0.2630357142857143,20.517261904761906,239
1981-07-20/1981-07-26,23.34642857142857,90.01785714285714,21.541666666666664,39.9,39.9,0,1004.8678571428571,939.9839285714286,92.96428571428571,80.77976190476191,33.55952380952381,60.172619047619044,0.3067857142857142,16.119047619047617,215
1981-07-27/1981-08-02,23.157738095238095,89.38690476190477,21.235119047619044,26.0,26.0,0,1006.2767857142857,941.264880952381,94.51190476190477,72.61309523809524,27.244047619047617,86.43452380952381,0.3210714285714285,16.367261904761904,234
1981-08-03/1981-08-09,22.067261904761903,94.50595238095238,21.11547619047619,92.6,92.6,0,1004.8553571428571,939.6994047619048,99.20833333333333,81.76190476190477,71.97619047619047,85.08333333333334,0.15261904761904757,18.552380952380954,251
1981-08-10/1981-08-16,22.504166666666666,92.58928571428571,21.208333333333332,79.7,79.7,0,1004.7886904761906,939.7285714285715,94.52380952380953,74.79761904761905,47.49404761904761,71.92857142857143,0.21166666666666664,21.901785714285715,219
1981-08-17/1981-08-23,22.652380952380952,90.25595238095238,20.92083333333333,37.3,37.3,0,1005.8869047619047,940.7934523809524,90.99404761904762,75.1309523809524,25.672619047619044,59.267857142857146,0.2826785714285714,18.692857142857143,224
1981-08-24/1981-08-30,22.74642857142857,88.01190476190477,20.556547619047617,17.8,17.8,0,1009.3732142857143,944.0696428571429,83.45238095238096,71.25595238095238,15.285714285714283,46.19047619047619,0.3593452380952381,14.42202380952381,241
1981-08-31/1981-09-06,23.411309523809525,83.04761904761905,20.122619047619047,2.6999999999999997,2.6999999999999997,0,1009.6083333333333,944.4291666666667,73.50595238095238,47.797619047619044,30.101190476190474,52.886904761904766,0.5476785714285715,8.280357142857143,254
1981-09-07/1981-09-13,24.10833333333333,85.05952380952381,21.214880952380952,51.7,51.7,0,1010.0226190476191,944.9625,58.4345238095238,30.874999999999996,25.452380952380953,56.34523809523809,0.5153571428571428,6.4244047619047615,63
1981-09-14/1981-09-20,24.52797619047619,86.68452380952381,21.9375,73.0,73.0,0,1009.0291666666666,944.1226190476191,59.392857142857146,32.077380952380956,25.345238095238095,58.875,0.47851190476190475,4.935119047619048,90
1981-09-21/1981-09-27,23.506547619047616,87.98809523809526,21.23690476190476,41.7,41.7,0,1007.4190476190477,942.4011904761904,83.61309523809523,67.75595238095238,28.190476190476186,58.357142857142854,0.3914285714285714,12.232142857142858,239
1981-09-28/1981-10-04,22.979166666666664,85.64880952380952,20.223214285714285,12.6,12.6,0,1011.1565476190475,945.7880952380954,66.56547619047619,56.94642857142857,19.559523809523807,26.2797619047619,0.4498214285714286,10.676785714285714,228
